filename,chemical_formula
AKOBAF_clean.cif,O16N32H144C160Cd4
AKOHEO_clean.cif,O104Mo24Fe6P16H4
AKUHOD01_clean.cif,Gd4H12C18O24
AKUHOD_clean.cif,Gd4H12C18O24
AKUKUO_clean.cif,Ni3C34H34N8P4O14
ALAHUS_clean.cif,Tb24O144N16C344H152
ALALUU01_clean.cif,Pr4H12C18O24
ALALUU_clean.cif,Pr4H8C18O24
ALAMUW_clean.cif,Cu6H24C78N6O36
ALANAD_clean.cif,Zn16H64C208N16O96
ALATAK_clean.cif,O16C24Ca4H8
ALEJAE_clean.cif,In9O57N36H126C180
ALEJEI_clean.cif,Cu48O240N96H288C528
ALEJIM_clean.cif,Zn48O240N96H288C528
ALEQIT_clean.cif,Tb6O36C72H36
ALIBUT_clean.cif,N144C264Mo12Zn48O48
ALICAA_clean.cif,N144C264W12Zn48O48
ALIFUY_clean.cif,Cd4O16N12C96H72
ALIPEQ_clean.cif,O48C24Cd3Zr3
ALIXAU_clean_h.cif,Cu12C96N48O46H49
ALIXOJ_clean.cif,Ni8H40C68O36
ALIXUP_clean.cif,Cu12H40C68O40
ALOLES_ion_b.cif,Bi12O92C72H80K4N8
ALOLET_charged.cif,In18H228C408N24O144
ALOLIX_charged.cif,Cs6In18H186C396N18O144
ALOLIY_clean.cif,Mn16C128H64O72
ALOLOD_charged.cif,In18H432C492O162N30
ALONEV_clean.cif,Nb96Cl192N128C320H224O32Mn16
ALUJEX_clean.cif,La12H80C144O76
ALUJIB_clean.cif,Ce12H76C144O74
ALUJOH_clean.cif,Nd12H72C144O72
ALUJUN_clean.cif,Y2H12C24O12
ALUKAU_clean.cif,Dy2H12C24O12
ALUKIC_clean.cif,Ce4H48C84N12O24
ALUKOI_clean.cif,Sm4H48C84N12O24
ALUKUO_clean.cif,Eu4H48C84N12O24
ALULAV_clean.cif,Gd4H48C84N12O24
ALULEZ_clean.cif,Ce12H192C336N48O96
ALULID_clean.cif,Ce4H48C84N12O24
ALURAB_clean.cif,Co6H136C152N28O36
ALUREF_clean.cif,Co6H136C152N28O36
ALURIJ_clean.cif,Ni6H136C152N28O36
AMAFOK_clean.cif,Cu3H18C30N12O12
AMAGAX_clean.cif,Cu12H72C120N48O48
AMALND_clean.cif,C36Nd8O48
AMEJOS_charged.cif,Fe2Cu12H144C72N26O30
AMIKOX_clean.cif,Cd4H80C96N16Cl8
AMILOY_clean.cif,Zn16H192C240N32O64
AMILUE_clean.cif,Zn8H96C120N16O32
AMIMAL_clean.cif,Zn16H192C240N32O64
AMIMEP_clean.cif,Zn8H96C120N16O32
AMIWID_clean.cif,Eu8H12C60O48
AMIWOJ_clean.cif,Gd8H12C60O48
AMIWUP_clean.cif,Tb8H12C60O48
AMIXAW_clean.cif,Dy8H12C60O48
AMIXEA_clean.cif,Ho8H12C60O48
AMODUC_clean.cif,Tb4H60C96O24
AMOFAK_clean.cif,Eu8H120C192O48
AMOYOR_clean.cif,Zn2H48C60N4O8
AMOZAE_clean.cif,K4Sm4H4C36N4O32
AMUFAR_clean.cif,O16C34H24Co4N2
AMUFEV_clean.cif,C30O16H22Co4N2
AMUFIZ_clean.cif,C28H20N4Co4O16
AMUFOF_clean.cif,C30H22Co4N4O16
AMUPOP_clean.cif,Zn12O48C216N48H200
AMUWIP_charged.cif,Cu16H256W4C352S16N32I4
AMUWUB_clean.cif,Cu6H42C74N6O24
AMUXAI_clean.cif,Cu6H52C84N8O24
ANAWIX_clean.cif,C64O40H8F32In8
ANAWOD_clean.cif,C96F48In12O60H12
ANEHEI_clean.cif,Zn8C70H72N30O20
ANENEN_clean.cif,La2H36C54O18
ANENIR_clean.cif,La2H48C54O18
ANEPIT_clean.cif,Co8H104C164N24O68
ANIDIL_clean.cif,C276H204Co28N16O96
ANOMUM_clean.cif,Cu4H20C60N4O24
ANONAT_manual.cif,Cu4H20C60N4O24
ANUGEW_clean.cif,Cu12H88C168O48
ANUGIA_clean.cif,Cu6H42C84O24
ANUGOG_clean.cif,Cu8H56C112O32
APACAX_clean.cif,O96C192H72Zn12
APARAM_clean.cif,C90H54O12N6F18Mn3
APAYIB_clean.cif,C168H88Eu8O48
APAYOH_clean.cif,C168H88O48Tb8
APAYUN_clean.cif,C168H88La8O48
APAZAU_clean.cif,C216H120Eu8O48
APAZEY_clean.cif,C216H120O48Tb8
APAZIC_clean.cif,C216H120La8O48
APAZOI_clean.cif,C120H56La8O48
APEBED_clean.cif,Zn8H16C48S8O32
APEBEE_clean.cif,N16B2C32H28Cd2O6
APEBUU_clean.cif,Cd24O48N128C264H216B16
APETAS_clean.cif,Cd6C40H20O28
APUPEH_clean.cif,O96C216H48Cu12
AQAJEI_clean.cif,C144H96N48O32Zn8
AQALIO_clean.cif,Eu8Sr4H8C32O68
AQALOU_clean.cif,Sr4Gd8H8C32O68
AQEFUY_clean.cif,Ag20N56C112H112
AQEQES_clean.cif,O32C40H8Co4
AQEQIW_clean.cif,Zn4C40H8O32
AQETIA_clean.cif,Mn8Nb4H16C48N40
AQETUM_clean.cif,Mn8Nb4C32N32
AQIQAU_clean.cif,C192N16H112Cd8O32
AQIXUV_clean.cif,Ni3O36N6C168H142
AQMAND01_clean.cif,Nd4H10C18O24
AQMAND_clean.cif,C36Nd8O48
AQODOA_clean.cif,Ag4H60C44S4N16O12
AQOLEZ_clean.cif,N80C88H72Co12Cl3
AQOLID_clean.cif,N512C832H576Co288Cl24
AQOLUP_clean.cif,N576C768H384Co96Cl24
AQOMAW_clean.cif,N48C120H72Co36Cl3O12
AQOMEA01_clean.cif,N576C768H384Co96Cl24
AQOMEA_clean.cif,N576C768H384Co96Cl24
AQOSEG_clean.cif,C320H256Cu32N192
AQUCOF_clean.cif,Cu12H30C50N20O20
AQUCOG_clean.cif,Ni18O54C72H18
AQUCUM_clean.cif,Ni18O54C72H18
AQUDAS_clean.cif,Cu12H30C50N20O20
AQUDAT_clean.cif,Cu8O16N40C68H56
AQUDEX_clean.cif,Cu8O16N40C68H56
AQUDIB_clean.cif,Ni18O54C72H18
AQUDOH_clean.cif,Cu8O16N40C68H56
ARADEE_clean.cif,Cd12C96H40N12O48
ARAFEF_clean.cif,N24H32C40Cu4
ARAFIJ_clean.cif,N24C40H32Cu4
ARAFOP_clean.cif,N24H32C40Cu4
ARAGOR_clean.cif,Cu8S16O64C96H32Ca8
ARAHIM01_clean.cif,C32H32Nb4Ni4O4F20N16
ARAHIM02_clean.cif,C32H32Nb4Ni4O8F16N16
ARAHIM_clean.cif,C32H32Nb4Ni4O4F20N16
ARINOF_clean.cif,Cu2C48H40N16
ARINUL_clean.cif,N32C112H112Cu4
AROFAP_clean.cif,Cd6H72C99O36
AROFET_clean.cif,Cd4H48C66O24
ARUCOH01_clean.cif,Co4C128H88N16O28
ARUCUN_clean.cif,Co2C64H40N8O14
ARUDAU_clean.cif,Co2C64H40N8O14
ARUJED_clean.cif,Mn8C120H112N40O32
ARUYES_clean.cif,Na4Bi4H32C64O32
ARUYOB_clean.cif,Zn12P16H16O48
ARUYUH01_clean.cif,Zn12P16H16O48
ARUYUH_clean.cif,Zn12P16H16O48
ASACON_clean.cif,Zn16H16C80O72
ASADAA_clean.cif,Cd8H44C80N8O36
ASAHEJ_clean.cif,U10O44H56N12C48
ASAJOU_clean.cif,H76O44C76N12Ni8
ASALAH_clean.cif,Zn4C32H28N8O8
ASALIP_clean.cif,Zn4H36C32N8O8
ASALOV_clean.cif,Cd4N16C64H76O16
ASAMUE_clean.cif,Th24O176N48C192H192
ASECUY_clean.cif,U8O64C240N24H120Na4
ASEJOZ01_clean.cif,Cd12O32N32C72H24
ASEJOZ_clean.cif,Cd12N32C72H24O32
ASINAT_clean.cif,Zn6O24N16C180H116
ASINEX_clean.cif,C1440H928N128O192Zn48
ASINIB_clean.cif,C1440H928N128O192Cu48
ASIQEA_clean.cif,N32C104H72O16Cu4
ASIQIE_clean.cif,N32C104H72O16Cu4
ASIRUR_clean.cif,Mn6O20H24C44
ASIVAB_clean.cif,Cu24O96C336H192N16
ASOHUL_clean.cif,O20C32V4
ASOSUY_clean.cif,O48C108H72Cu12Si6
ASOVEL_clean.cif,Ca4O16C120H80
ASOYOY_clean.cif,Cd16O32N96C352H256
ASUBIB_clean.cif,O24C48H18Eu4N6
ASUJIJ_clean.cif,Zn8C96N40H56O32
ASUKEE01_clean.cif,Cu32N96C480H384
ASUKEE_clean.cif,Cu32N96C480H384
ASUWUI_clean.cif,Zn8O24N24C152H92
ATAFIK_clean.cif,Zn16H16C80O64
ATAYAX_clean.cif,C132H60O48N6F6Zn12
ATAYEB_clean.cif,C132H60O48N6Cu12F12
ATEXII_clean.cif,Zn8N28O16C84H64
ATEYED_clean.cif,C112H112N32Co4
ATEYOP_clean.cif,Gd24O128C640H352
ATEYUV_clean.cif,Ho24O128C640H352
ATEZAC_clean.cif,Er12O64C320H176
ATIBAG_clean.cif,Mn12H24C24O48
ATIBIO_clean.cif,Mn12O48C36
ATIBOU01_clean.cif,Mn12H24C24O48
ATIBOU02_clean.cif,Mn12O48C24H24
ATIBOU_clean.cif,Mn12H24C24O48
ATIBUA_clean.cif,Mn12H24C24O48
ATICAH_clean.cif,Mn12H24C24O48
ATICEL_clean.cif,Mn12H24C24O48
ATIJUJ_manual.cif,Co6P6C36N6O18H54
ATIRUS_clean.cif,Tb8C56H24N8O48S4
ATIXAE_clean.cif,Tb4O24N12C96H48
ATIXUX_clean.cif,O72C136H48Cd12
ATOGEV_clean.cif,Zn12P16H16O48
ATOWIQ_clean.cif,Zn4H32C40N6O16
ATOWOW_clean.cif,Zn4H32C40N6O16
ATULIM_clean.cif,Zn8O24N8C56H40
ATUXIY_clean.cif,Eu12O80C136H56
ATUXOE_clean.cif,Eu4O38C64H24K4
ATUXUK_clean.cif,Tb4O38C64H24K4
ATUYAR_clean.cif,Gd4O36C64H24K4
AVAGIP_clean.cif,Ag16N96C272H192
AVAGOV_clean.cif,Ag16N96C272H192
AVAGUB_clean.cif,Ag8N48C136H96
AVAJUE_clean.cif,O192C1248H768Cu48N32
AVAKAL_clean.cif,O48C312H192Cu12N8
AVAKEP_clean.cif,O48C384H288Cu12N8
AVALEO_clean.cif,O40N16C88H160Gd4
AVAQIX01_clean.cif,Cd8O32C96H64N16
AVAQIX_clean.cif,Cd8H64C96N16O32
AVEHAM_clean.cif,C116H84N8O20Cu4
AVELOD_clean.cif,Cu8H120C120N24O16
AVELUJ_clean.cif,Ni8H120C120N24O16
AVEMAQ_clean.cif,Ni8H120C120N24O16
AVEQID_clean.cif,C88H40N4O32Zn8
AVESAW_clean.cif,Cd12H40C40N60Cl4
AVESOL_clean.cif,Zn8O40C92H36
AVESUR_clean.cif,Cd16O80C184H72
AVETEC_clean.cif,O128C192H64Cd12
AVEVEE_clean.cif,C32H12Cd3N4O20
AVIHIY_clean.cif,Ho4O24C36H12
AVIHOE_clean.cif,O24C36H12Tm4
AVILEY_clean.cif,O160C576H288Hf48Ir12Cl24N48
AVIMIC_clean.cif,C120H72O40Zn8
AVIMOI_clean.cif,Zn8H72C120O40
AVIMUO_clean.cif,Mn8H72C120O40
AVIPAX_clean.cif,Mg12H36C84N12O48
AVIPOL_clean.cif,Mg8O32N8C56H24
AVITUU_clean.cif,N64C384H256Cu16S16
AVIVAC_clean.cif,N64C384H256Ag16S16
AVIVEG_clean.cif,N64C384H256Ag16S16
AVIVIK_clean.cif,N64C384H256Ag16S16
AVIVOQ_clean.cif,N64C384H256Ag16S16
AVIVUW_clean.cif,N64C384H256Ag16S16
AVOSIO_charged.cif,Ag6H216C198O36Sb3F18
AVUCEA_clean.cif,Co36O216C324H108
AVUDAX_clean.cif,Cu6H120C120N72
AVUJIL_clean.cif,Pr4S4O28H16C28
AVUPIR_SL.cif,P6C18N6O18H40Zr2
AWAGEL_clean.cif,Cd4H84C108N28
AWAGOV_clean.cif,Ni8C248H184N56O16
AWAHAI_clean.cif,U48Mn18P24H48C48O168
AWAHEM_clean.cif,U10Mn4P12H24C24O60
AWAJIT_clean.cif,Zn8O48N32C164H144
AWAKEQ_clean.cif,C144H116N20O16Cd4
AWAREV_clean.cif,C36H108N90Zn18F18
AWARIZ_clean.cif,C36H108N90Zn18F18
AWASAU_clean.cif,Pr4Cu16I16O24N12C72H48
AWASEY_clean.cif,Pr12Cu48I48O80N40C240H160K4
AWASOI_clean.cif,Pr12I48Cu48O72N36C216H144
AWAWUR_clean.cif,Co18H84C180N24O78
AWEBIO_charged.cif,U8H164C116N52O64
AWEDOW_charged.cif,Zn8H176C228N64O40
AWEDUC_charged.cif,Zn4H96C118N34O26
AWEGEP_clean.cif,Cs12U12P12H48C84O72
AWEJIW_clean.cif,Cd6H44C84O24
AWEVIJ_clean.cif,C848H704O64N72Zn16
AWEZOS01_clean.cif,Cu68Cl8N240H576C672
AWEZOS_clean.cif,Cu68Cl8N240H576C672
AWIBAK_clean.cif,Cu68Cl8N240H576C672
AWIBAL_clean.cif,Lu2O14C24H22N6
AWIBEO_clean.cif,Cu68Br8C672H576N240
AWIBIS_clean.cif,Cu68Br8N240H576C672
AWOFOI_clean.cif,Ce4H12C36O24
AWUPAL_clean.cif,O32C200H104In4Fe2N8
AXAFAG_clean.cif,U24P24O96F8H16
AXAQAT_clean.cif,Ag4C16N12H8Fe2
AXAWUT_clean.cif,Ce8O48C36H24
AXIMUP_clean.cif,La4O16N16C96H96
AXINAX01_clean.cif,Co22H180C324O72
AXINEA_clean.cif,O128N64C384H320La16
AXINIF_clean.cif,Co12H120C216O52
AXIPEE01_clean.cif,Fe8Au16C144N64H80
AXIPEE02_clean.cif,C432H240N192Fe24Au48
AXIPEE03_clean.cif,C144H80N64Fe8Au16
AXIPEE_clean.cif,Fe8Au16C144N64H80
AXOCAT_clean.cif,Cs8S12C4H4O36
AXOHIE_clean.cif,Cd16H320C464N48O64
AXUBAW_manual.cif,Zn8C72O26H72
AXUBOL_clean.cif,Ni12H76C120N12O52
AXUDII04_clean.cif,Co4C24N24K4
AXUHAD_clean.cif,Co8H272C272S16N16O48
AXUHEH_clean.cif,Na4Co6H264C264S16N16O56
AXUHIL_clean.cif,Cd8H240C204S16N4O48
AXUPEO_clean.cif,Mn2Al6P8O32
AYAWEE_clean.cif,S2O8N12C36H36Mn2
AYOQEM_clean.cif,Cu48O192C480H288
AYOXUJ_clean.cif,Co8O32N16C144H128
AYOYEU_clean.cif,C80H72N16O16Co4
AYOYOE_clean.cif,Ni5N20O16C84H66
AYUJIP_clean.cif,Mn108N36O288C558H702
AYUPOZ_clean.cif,Ni8F16S4O16
AYUWUM_clean.cif,Na6H62C60S14O38
AZAFIS_clean.cif,Br4O8C16H4Ca2
AZAVOO_clean.cif,Mg8O48H104C192
AZAVUU_clean.cif,Cu12C192H96O48
AZAWAB_clean.cif,Cu12O50C192H100
AZAWAZ_clean.cif,U4Na2O22C10
AZEBUE_clean.cif,Ho8S12C72O48H24
AZEWEH_clean.cif,Nd4S8O32
AZILEA_clean.cif,Pr8P8H40C56N8O40
AZILEC_clean.cif,Co8O32N32C128H96
AZIMIH_clean.cif,Zn24O128C160H32
AZIVAI_clean.cif,N16C80H48Cu4
AZIXUD_clean.cif,Zn8H32C68O40
AZOBUN_clean.cif,Gd2Co1H32C56N8O20
BACGAQ_clean.cif,O8Cd2N8C64H52
BACMOH10_clean.cif,Cu4H36C28N12O16
BACMOH_clean.cif,Cu4O16C28N12
BADHIA_clean.cif,O96C192H96Sc16
BADHOG_clean.cif,O96C192H96Sc16
BADHUM01_clean.cif,Sc8O48C96H48
BADHUM_clean.cif,O96C192H96Sc16
BADJAU_clean.cif,Sc48O288C576H288
BADYAJ_clean.cif,C192H120N48O48Tb8
BAEDTA01_clean.cif,Ba16H96C80N16O64
BAFCAP_clean.cif,Zn3C94H86O32
BAFHAU_clean.cif,C48N16Cu16
BAFKUR_clean.cif,O8N14C50H36Co2
BAHGUN01_clean.cif,Cu2H16C24N4O8
BAHGUN02_clean.cif,Cu2H16C24N4O8
BAHGUN03_clean.cif,Cu2H16C24N4O8
BAHGUN04_clean.cif,Cu2H16C24N4O8
BAHGUN_clean.cif,Cu2H16C24N4O8
BAKFAV_clean.cif,Zn6P8H8O24
BAKGAX_clean.cif,Co12H16C36S4N48O20
BAKGIF_manual.cif,Ni2H20C24N24
BAKJEE_clean.cif,Co8H56C104N8O32
BAKJII_clean.cif,Co4H28C52N4O16
BAKJOO_clean.cif,Co6H42C78N6O24
BAKLIK_clean.cif,Mn3H108C90N18O18
BAKYOE_clean.cif,O44C64N20H48Mg8
BALMUW01_clean.cif,Ba4C8O16
BALMUW_clean.cif,Ba4C8O16
BALPAH_clean.cif,Ag64Pd48Br8La32S96O224N96H888C496
BALPIP_clean.cif,Pt48Ag64La56S96O220N96H864C488
BAMKIM_clean.cif,Cu8O20H84N24C88
BAMKOS_clean.cif,Cu8O20H84N24C88
BANMAG_clean.cif,Nd4Co6H48C48O60
BAPDAA_clean.cif,Cd18C72H18O54
BAQWEY_clean.cif,Ag20C70N40H50
BAQWIC_clean.cif,Ag11C42H30N24
BAQWOI_clean.cif,Ag52C256N128H224
BARZAW_clean.cif,Zn12H132C204N12O48
BARZIE_clean.cif,Co12H132C204N12O48
BARZOK_clean.cif,Cu12H132C204N12O48
BARZOL_charged.cif,Ag16H320C320N192B16F64
BARZUR_clean.cif,Zn3H60C60N36
BASJUB_clean.cif,Co4H96C116N16Cl8O32
BASSOF_clean.cif,Dy8Ag8H64C144N32O64
BASSUL_clean.cif,Er8Ag8H64C144N32O64
BASTAS_clean.cif,Gd8Ag8H64C144N32O64
BASTEW_clean.cif,Sm8Ag8H64C144N32O64
BASTIA_clean.cif,Tb8Ag8H64C144N32O64
BASTUM_clean.cif,Ho8Ag8H64C144N32O64
BAWROI_clean.cif,Zn40N120C360H208O96
BAWRUO_clean.cif,U16P24H24C12O72
BAXFIR01_clean.cif,N48C24H24Fe2
BAXFIR02_clean.cif,N48C24H24Fe2
BAXFUD_clean.cif,N48C24H24Fe2
BAXGAK_clean.cif,C24N48H24Fe2
BAXLOD_clean.cif,O16Ni4S4N4H20C20
BAXREY_clean.cif,Cu40H560W12C336N136O120
BAXSIE_clean.cif,Mg16H16C40N16O40
BAZDAJ_clean.cif,C104O56Cr4Mn4H88N16Cl8Fe4
BAZFUF01_clean.cif,O48C216H120Cu12
BAZFUF_clean.cif,Cu12H120C216O48
BAZGAM_clean.cif,Cu12H216C360O48
BAZGEQ_clean.cif,Cu24H384C672N48O96
BAZJET_clean.cif,Mn6H36C72N48O2
BAZJIX_clean.cif,Mn10H48C96N64O4
BEDYEQ_clean.cif,Zr18Fe6H144C288N24Cl6O72
BEFGEA_manual.cif,In6H120C216O48
BEFKUU_clean.cif,Al18P18O72
BEFLAB01_clean.cif,Al32P32O128
BEFLEF_clean.cif,Al16P16O64
BEFLIJ_clean.cif,O64Al16P16
BEFLUV_clean.cif,Al16P16O64
BEFMAC_clean.cif,Al16P16O64
BEFMOQ_clean.cif,Al8Co12P20O80
BEFMUW_clean.cif,Al8Co12P20O80
BEFNAD_clean.cif,Ga4Co16P20O80
BEFNEH_clean.cif,Co16Ga8P20O80
BEFNIL_clean.cif,O32Al8P8
BEFNUX_clean.cif,Co12P16O68Ga4
BEFPAF_clean.cif,Al20Co4P24O96
BEGBOG_clean.cif,Na4H36C24O24
BEJZAS_clean.cif,Zn4P8O32H12
BEKSAM_clean.cif,Ga20P16O72
BEKYOG_clean.cif,Cr4Ag6C24O48
BEKYUM_clean.cif,Ag44Cr8O96C48K8
BEKZEX01_clean.cif,Ag36Cr8O104C48Cs8
BEKZEX_clean.cif,Ag36Cr8O104C48Cs8
BELJIL_clean.cif,Cu6H90C78N12O24
BELTOD_clean.cif,Mn24P16H184C336O112
BELTUJ_clean.cif,Co24P16H192C336O112
BELVEV_charged.cif,Mn6P4H80C96O32N4
BELYIC_clean.cif,Mg6H36C24O24
BENXUP_clean.cif,Zn6H36C40N8O16
BENZOL_clean.cif,Sr2C36H16N12O2
BENZUR_clean.cif,Ba2C36H16N12O2
BEPBAB_clean.cif,Ca2C36H16N12O2
BEPLUF_clean.cif,Zn6H66C54N12O12
BEPMAM_clean.cif,Zn6H66C54N12O12
BEPMIU_clean.cif,Zn6H66C54N12Cl6O12
BEPNER_clean.cif,C88H128N16O16Zn4
BEPNIV_clean.cif,Zn6H60C54N12O12
BEPNOB_clean.cif,Zn6H60C54N12O12
BEPNUH_clean.cif,Zn6H66C54Br6N12O12
BEPPAP_clean.cif,Zn6H66C54N12Cl6O12
BEPPIX_clean.cif,Zn6H90C66N12O12
BEPPOD_clean.cif,Zn6H84C66N12O12
BEPREV01_clean.cif,O78C432H264Ni18N36
BEPREV02_clean.cif,O78C432H264Ni18N36
BEPREV03_clean.cif,O78C432H264Ni18N36
BEPREV_clean.cif,O78C432H264Ni18N36
BEPRIZ_clean.cif,Co6H66C114N6O26
BEPROF_clean.cif,Ni6H84C144N12O26
BEPVAV_clean.cif,Cu6H42C40N16
BEPVEZ_clean.cif,Cu6H42C40N16
BEPVID_clean.cif,Cu6H42C40N16
BEPVOJ01_clean.cif,Cu6H42C40N16
BEPVOJ_clean.cif,Cu6H42C40N16
BEPWEA_clean.cif,Cu8O58C32H24Li16
BERFIP_clean.cif,Zn6H16C28N16O16
BERGAI_clean.cif,Zn16H80C96N64O32
BETDAH_clean.cif,Ho4H28C64N4O24
BETDEL_clean.cif,Dy4H28C64N4O24
