REFCODE,DOI,CCDC
ANENIR,10.1039/c0ce00426j,
ANEPIT,10.1039/c0ce00252f,
ANOMUM,10.1039/c0ce00542h,
ANONAT,10.1039/c0ce00542h,
ANUGEW,10.1021/ja107423k,
ANUGIA,10.1021/ja107423k,
ANUGOG,10.1021/ja107423k,
ANUGUM,10.1021/ja107423k,
APEBED,-,y
AQALIO,10.1002/zaac.201000378,
AQALOU,10.1002/zaac.201000378,
AQETIA,10.1002/anie.201100880,
AQETUM,10.1002/anie.201100880,
AQMAND01,10.1016/j.matlet.2004.12.029,
AQODOA,10.1016/j.ica.2011.03.041,
AQUCOF,10.1016/j.ica.2011.04.006,
AQUDAS,10.1016/j.ica.2011.04.006,
ARIBOS,10.1002/ejic.200300375,
AROFAP,10.1021/cg101222w,
AROFET,10.1021/cg101222w,
ARUYES,10.1021/cg901402f,
ASACON,10.1021/ic9019553,
ASADAA,10.1021/ic9019553,
ASALIP,10.1002/chem.200305098,
ATAFIK,10.1002/aoc.571,
ATIBAG,10.1039/b314221c,
ATIBOU,10.1039/b314221c,
ATIBOU01,10.1002/adfm.200800058,
ATIBUA,10.1039/b314221c,
ATICAH,10.1039/b314221c,
ATICEL,10.1039/b314221c,
ATIJUJ,10.1021/ja1097995,
ATOTIM,10.1039/b312589k,
ATOWIQ,10.1039/c1cc12253c,
ATOWOW,10.1039/c1cc12253c,
ATOXEN,10.1039/c1cc11752a,
AVAQIX,10.1016/j.inoche.2003.12.012,
AVELOD,10.1021/cg200242n,
AVELUJ,10.1021/cg200242n,
AVEMAQ,10.1021/cg200242n,
AVEMOE,10.1021/cg200571y,
AVEROJ,10.1021/ic100610t,
AVESAW,10.1021/ic100610t,
AVIMOI,10.1021/cg200229h,
AVIMUO,10.1021/cg200229h,
AVIPAX,10.1021/cg200327y,
AVOSIO,10.1021/ic101211n,
AVUDAX,10.1016/j.molstruc.2011.04.027,
AVUPIR,10.1021/ic1014048,
AWAGEL,10.1021/cg200005q,
AWAHAI,10.1021/cg200127a,
AWAHEM,10.1021/cg200127a,
AWAWUR,10.1021/cg200043a,
AWEBIO,10.1021/cg200349p,
AWEDOW,10.1021/cg200315f,
AWEDUC,10.1021/cg200315f,
AWEGEP,10.1021/cg200337w,
AWEJIW,10.1021/cg2003673,
AWOFOI,10.1107/S160053681102277X,
AXINAX01,10.1039/c1cc10674k,
AXINIF,10.1039/c1cc10674k,
AXOCEW,10.1021/cg200389q,
AXOHIE,10.1002/ejic.200300850,
AXUBAW,10.1021/ja049408c,
AXUBOL,10.1021/cg200579j,
AXUHAD,10.1021/cg2006315,
AXUHEH,10.1021/cg2006315,
AXUHIL,10.1021/cg2006315,
AYUWUM,10.1135/cccc20041080,
AZILEA,10.1021/ic035363p,
AZIXUD,10.1107/S1600536811037056,
AZOBUN,10.1107/S1600536811038074,
BACMOH10,10.1021/ic00136a027,
BAEDTA01,10.1002/zaac.201000044,
BAHGUN,10.1006/jssc.2001.9118,
BAHGUN01,10.1039/b200213b,
BAHGUN02,10.1039/b201501n,
BAHGUN03,10.1016/S0020-1693(03)00215-9,
BAHGUN04,10.1016/S0020-1693(03)00215-9,
BAHMAZ,-,y
BAKGAX,10.1039/c1dt11590a,
BAKGIF,10.1039/c1dt11590a,
BAKJEE,10.1039/c1dt10901d,
BAKJII,10.1039/c1dt10901d,
BAKJOO,10.1039/c1dt10901d,
BAKLIK,10.1007/s10870-011-0193-5,
BALMUW,10.1016/0022-4596(81)90447-3,
BALMUW01,10.1107/S0108768101020717,
BANMAG,-,y
BARZAW,10.1039/b301221b,
BARZIE,10.1039/b301221b,
BARZOK,10.1039/b301221b,
BARZOL,10.1021/ic3000679,
BARZUR,10.1021/ic3000679,
BASJUB,10.1039/b301351k,
BASSOF,10.1039/c0dt00579g,
BASSUL,10.1039/c0dt00579g,
BASTAS,10.1039/c0dt00579g,
BASTEW,10.1039/c0dt00579g,
BASTIA,10.1039/c0dt00579g,
BASTUM,10.1039/c0dt00579g,
BAWRUO,10.1021/ic300391p,
BAXREY,10.1039/b304276f,
BAXSIE,10.1002/chem.201102953,
BAZDAJ,10.1021/ic201293f,
BAZFUF,10.1021/ic201376t,
BAZGAM,10.1021/ic201376t,
BAZGEQ,10.1021/ic201376t,
BAZJET,10.1021/ic201883f,
BAZJIX,10.1021/ic201883f,
BEDHOJ,10.1002/cssc.201100702,
BEDYEQ,10.1002/anie.201204475,
BEFGEA,10.1002/anie.201204160,
BEGBOG,10.1002/ejic.201200686,
BEKYOG,10.1021/ic034988k,
BELJIL,10.1016/S0020-1693(00)85786-2,
BELTOD,10.1002/zaac.201200238,
BELTUJ,10.1002/zaac.201200238,
BELVAR,10.1002/zaac.201200238,
BELVEV,10.1002/zaac.201200238,
BELYIC,10.1002/zaac.201200269,
BENXOJ,10.1002/anie.201300821,
BENXUP,10.1002/anie.201300821,
BEPLUF,10.1039/c3cc41842a,
BEPMAM,10.1039/c3cc41842a,
BEPMEQ,10.1039/c3cc41842a,
BEPMIU,10.1039/c3cc41842a,
BEPNIV,10.1039/c3cc41842a,
BEPNOB,10.1039/c3cc41842a,
BEPNUH,10.1039/c3cc41842a,
BEPPAP,10.1039/c3cc41842a,
BEPPIX,10.1039/c3cc41842a,
BEPPOD,10.1039/c3cc41842a,
BEPRIZ,10.1039/C3SC22222E,
BEPROF,10.1039/C3SC22222E,
BEPVAV,10.1039/c3sc00016h,
BEPVEZ,10.1039/c3sc00016h,
BEPVID,10.1039/c3sc00016h,
BEPVOJ,10.1039/c3sc00016h,
BEPVOJ01,10.1039/c3sc00016h,
BEPYIG,10.1039/C3NJ00054K,
BEQFEK,10.1039/C3DT50506E,
BERFIP,10.1039/C3CE00049D,
BERGAI,10.1039/C3CE00049D,
BERGAI01,10.1039/C3DT51454D,
BETDAH,10.1039/C3TA00115F,
BETDEL,10.1039/C3TA00115F,
BETDIP,10.1039/C3TA00115F,
BETDUB,10.1039/C3TA00115F,
BETFAJ,10.1039/C3TA00115F,
BETFEN,10.1039/C3TA00115F,
BETFUD,10.1039/C3TA00115F,
BETGAK,10.1039/C3TA00115F,
BETZOR,10.1039/C3CC00093A,
BEVQID,10.1016/j.solidstatesciences.2004.03.007,
BEVQUP,10.1016/j.solidstatesciences.2004.03.007,
BEVRAW,10.1016/j.solidstatesciences.2004.03.007,
BEWRUR,10.1021/ja0316420,
BEWSAY,10.1021/ja0316420,
BEXPAX,10.1039/C3DT00096F,
BEXRUT,10.1039/C3CE27023H,
BEXSAA,10.1039/C3CE27023H,
BEXSII,10.1039/C3CE27023H,
BEXTUV,10.1039/C3CE27006H,
BEXVEH,10.1039/C3CE27006H,
BEYSEF,10.1039/C3SC22207A,
BEZSIK,10.3390/cryst2041374,
BIBBUL,10.1016/j.ica.2013.03.015,
BIBXOB,10.1002/anie.201303484,
BIBXUH,10.1002/anie.201303484,
BICDAU,10.1039/C3DT50787D,
BICPUA,10.1039/C3CC43196G,
BIFKEI,10.1021/cg400382k,
BIHMUC,10.1039/C3RA41552J,
BIJDUV,10.1039/C3CC43225D,
BIJFAD,10.1039/C3CC43225D,
BIMDEF,10.1021/ja003159k,
BIMDIL,10.1021/ja003159k,
BIMDOR,10.1021/ja002118l,
BINCUY,10.1002/anie.201307681,
BINDAF,10.1002/anie.201307681,
BINSAU,10.1021/ic401870e,
BIPKIW,10.1021/ic4018757,
BIPLIX,10.1021/ic400536e,
BIQHEQ,10.1021/ic401657d,
BIQVII,10.1016/j.jssc.2013.10.045,
BIRSEC,10.1021/ic401912k,
BIRSIG,10.1021/ic401912k,
BIVXEK,10.1039/b715460g,
BIWSEG,10.1021/ic701917w,
BIWSIK,10.1021/ic701917w,
BIWYAH10,-,y
BIXCOC,10.1039/C4CC01909A,
BIXYEO,10.1039/C4CE00403E,
BIYTEJ,10.1002/chem.200701447,
BIYXUE,10.1002/chem.201402255,
BIYYAL,10.1002/chem.201402255,
BIYYEP,10.1002/chem.201402255,
BOCKOT,10.1002/(SICI)1521-3773(19990903)38:17<2590::AID-ANIE2590>3.0.CO;2-H,
BOHGOU,10.1107/S0108270183003510,
BOHJOZ,10.1021/ja500330a,
BOHXAZ,10.1021/ja500330a,
BOHXED,10.1021/ja500330a,
BOJCIN,10.1021/ic800693r,
BOKQEZ,10.1080/00958972.2014.950255,
BOLPAU,10.1021/ic801174d,
BOLPEY,10.1021/ic801174d,
BOLZIN,10.1002/chem.201402895,
BOMCUB,10.1107/S0108270183004011,
BONMAT,10.1039/b812643g,
BONMEX,10.1039/b812643g,
BONNIC,10.1039/b809557d,
BONWAD,10.1002/chem.200801948,
BONWIL,10.1002/chem.200801948,
BORBEQ,10.1016/j.poly.2008.12.045,
BOWQAG,10.1016/j.jssc.2008.12.022,
BOWSIQ,10.1016/j.micromeso.2008.07.044,
BOXFAW,10.1021/ja808995d,
BOXFOK,10.1021/ja808995d,
BUCROH,10.1021/ic900816h,
BUCSIC,10.1021/ic900816h,
BUCYAA,10.1021/cg900349c,
BUDDIO,10.1107/S1600536809038756,
BUFNEW,10.1021/ja808995d,
BUFNOG,10.1021/ja808995d,
BUFPAU,10.1021/ja808995d,
BUFPAU01,10.1021/ja808995d,
BUGSAY,10.1021/cg900475q,
BUGSEC,10.1021/cg900475q,
BUGSIG,10.1021/cg900475q,
BUGSOM,10.1021/cg900475q,
BUKMUQ,10.1021/ic901456k,
BURJOO,10.1039/b911950g,
BUSGIG,10.1002/zaac.200900304,
BUSGOM,10.1002/zaac.200900304,
BUSMUY,10.1021/ja1009635,
BUSNAF,10.1021/ja1009635,
BUSQEM,10.1021/cm101410h,
BUSQIQ,10.1021/cm9023106,
BUSQUC,10.1021/cm9025683,
BUVWOF02,10.1002/chem.201001179,
BUVWOF03,10.1002/chem.201001179,
BUVXOG,10.1002/chem.201001179,
BUVXOG01,10.1002/chem.201001179,
BUVYEX,10.1002/chem.201001179,
BUVYIB,10.1002/chem.201001179,
BUVYIB01,10.1002/chem.201001179,
BUWGAC,10.1039/C0SC00272K,
BUWGEG,10.1039/C0SC00272K,
BUYNAL,-,y
CABQEB,10.1021/ic9802855,
CADPII,10.1016/j.molstruc.2011.08.013,
CADQAB,10.1016/j.molstruc.2011.07.032,
CADQOP,10.1016/j.molstruc.2011.07.032,
CAGSAG,10.1039/c1cc12802g,
CAHLEE,10.1016/j.ica.2011.09.042,
CAHNEF,10.1021/cg010015o,
CAJQEL,10.1021/ja205658j,
CAJQIP,10.1021/ja205658j,
CAJVUG,10.1021/ic200967b,
CAJWAN,10.1021/ic200967b,
CAJWER,10.1021/ic200967b,
CAJWIV,10.1021/ic200967b,
CAKFEB,10.1002/ejic.201100523,
CAKFIF,10.1002/ejic.201100523,
CAKXET,10.1021/ic201013v,
CAKXIX,10.1021/ic201013v,
CAKXOD,10.1021/ic201013v,
CAKXUJ,10.1021/ic201013v,
CAKYAQ,10.1021/ic201013v,
CAKYEU,10.1021/ic201013v,
CAKYIY,10.1021/ic201013v,
CANRIU,10.1071/CH11155,
CANROA,10.1071/CH11155,
CANRUG,10.1071/CH11155,
CANYIB,10.1002/chem.201103687,
CARGEI,10.1002/anie.200462793,
CATART03,10.1154/1.2464129,
CAVMOD,10.1039/c1dt11584g,
CAVPEW,10.1039/c2dt12088g,
CAVPIA,10.1039/c2dt12088g,
CAVPUM,10.1039/c2dt12088g,
CAVRAU,10.1039/c2dt12059c,
CAVREY,10.1039/c2dt12059c,
CAWDOU,10.1021/ic0505504,
CAWDOU01,10.1021/ic0505504,
CAWDOU02,10.1021/ic0505504,
CAWGAJ,10.1021/ic0507060,
CAWVIH,10.1021/ic202713e,
CAWZUX,10.1021/ic201951e,
CAXPEY,10.1039/c2dt11993e,
CAXPIC,10.1039/c2dt11993e,
CAXSUR,10.1039/C2DT12005D,
CAXTUS,10.1039/c2dt12072k,
CAXVII,10.1039/c2dt12138g,
CAXVOO,10.1039/c2dt12138g,
CAXVUU,10.1039/c2dt12138g,
CAXWAB,10.1039/c2dt12138g,
CAXWEF,10.1039/c2dt12138g,
CAXWIJ,10.1039/c2dt12138g,
CAXXAC,10.1039/c2dt12022d,
CAXXEG,10.1039/c2dt12022d,
CAXZOS,10.1039/c2dt12016j,
CAYBAH,10.1039/c2dt12311h,
CAYBAH01,10.1039/c2dt12311h,
CAYCAI,10.1021/ic202299d,
CAYCEL,10.1021/ic050821a,
CAYDEN,10.1021/ic2023105,
CAYDIR,10.1021/ic2023105,
CAYDOX,10.1021/ic2023105,
CAYDOX01,10.1021/ic2023105,
CAYDOX02,10.1021/ic2023105,
CAYDOX03,10.1021/ic2023105,
CAYDOX04,10.1021/ic2023105,
CAYDOX05,10.1021/ic2023105,
CAYDOX06,10.1021/ic2023105,
CAYGIU,10.1021/ic2023105,
CAYKEU,10.1021/ic2023727,
CAYMIZ,10.1107/S1600536805032162,
CAYQUQ,10.1021/ic2024296,
CAYSIE,10.1002/(SICI)1521-3773(19990917)38:18<2730::AID-ANIE2730>3.3.CO;2-0,
CAYSOK,10.1002/(SICI)1521-3773(19990917)38:18<2730::AID-ANIE2730>3.3.CO;2-0,
CAYYEG,10.1002/(SICI)1521-3773(19990917)38:18<2730::AID-ANIE2730>3.3.CO;2-0,
CAZFOA,10.1016/j.micromeso.2012.02.042,
CAZGIT,-,y
CAZNEY,10.1039/c2cc35399g,
CAZNIC,10.1039/c2cc35399g,
CAZNOI,10.1039/c2cc35399g,
CAZNUO,10.1039/c2cc35399g,
CDLGLU01,10.1107/S0108270197009426,
CDLGLU02,-,y
CDLGLU10,10.1107/S0567740877004683,
CDLGLU11,10.1107/S0567740877004683,
CDLGLU12,10.1080/00958970701283711,
CEBDOD,10.1021/ic050935m,
CECVAI,10.1002/ejic.200500652,
CECVIQ,10.1002/ejic.200500735,
CECVOW,10.1002/ejic.200500735,
CEDFIC,10.1107/S0108768112032053,
CEFLEF,10.1002/chem.200500754,
CEGDUO,10.1039/B602465C,
CEGFAW,10.1039/B602465C,
CEGWER,10.1021/cg050620h,
CEHKUW,10.1021/ic051810k,
CEHLAD,10.1021/ic051810k,
CEHPIP,10.1021/cg050585e,
CEHWIX,10.1016/j.jssc.2012.07.050,
CEHWOD,10.1016/j.jssc.2012.07.050,
CEHZAR,10.1016/j.inoche.2006.02.004,
CEHZAR01,10.1016/j.ica.2006.10.014,
CEJBEA,10.1016/j.jssc.2012.07.018,
CEJZAU,10.1039/c2cc36003a,
CEKHIL,10.1039/c2ce26109j,
CELKEL,10.1016/j.jssc.2009.11.003,
CELZEA,10.1039/C3CE40484F,
CELZIE,10.1021/cm3025445,
CENJIQ,10.1021/cg3012712,
CENKAJ,10.1021/cg3012712,
CENPUI,10.1021/cg3013574,
CEQBUV,10.1021/ja991985r,
CERMIV,10.1107/S0108270199015851,
CESYEF,-,y
CESYEF01,10.1039/c0nj00144a,
CETFOX,10.1039/b615696g,
CETFUD,10.1039/b615696g,
CETGOY,10.1039/b613047j,
CETHEQ,10.1039/C3CE00070B,
CETJAN,10.1002/cjoc.200591236,
CETVAA,10.1039/C3DT50377A,
CEXHET,10.1021/ja0645483,
CEXSEE,10.1021/ja0645483,
CEYPUT,10.1039/C3NJ00236E,
CEZFIY,10.1039/c3dt00083d,
CEZMUR,10.1039/C3CC42255K,
CEZNAY,10.1039/C3CC42255K,
cg034025wsi20030214_115651,10.1021/cg034025w,
cg050585esi20051105_115011,10.1021/cg050585e,
cg060408tsi20060629_081747,10.1021/cg060408t,
cg060732osi20070605_042406,10.1021/cg060732o,
cg0702636-file001,10.1021/cg0702636,
cg0702636-file002,10.1021/cg0702636,
cg100226u_si_003,10.1021/cg100226u,
cg100226u_si_004,10.1021/cg100226u,
cg100357q_si_002,10.1021/cg100357q,
cg200120p_si_002,10.1021/cg200120p,
cg200261j_si_002,10.1021/cg200261j,
cg200332y_si_002,10.1021/cg200332y,
cg200606r_si_001,10.1021/cg200606r,
cg200615s_si_002,10.1021/cg200615s,
cg2007167_si_002,10.1021/cg2007167,
cg2007167_si_002-1,10.1021/cg2007167,
cg201283a_si_002,10.1021/cg201283a,
cg3001009_si_002,10.1021/cg3001009,
cg300256k_si_004,10.1021/cg300256k,
cg300256k_si_006,10.1021/cg300256k,
cg3002866_si_001,10.1021/cg3002866,
cg300302n_si_004,10.1021/cg300302n,
cg300598y_si_002,10.1021/cg300598y,
cg300827e_si_003,10.1021/cg300827e,
cg300979c_si_002,10.1021/cg300979c,
cg3015354_si_002,10.1021/cg3015354,
cg301577a_si_002,10.1021/cg301577a,
cg301725z_si_002,10.1021/cg301725z,
cg301725z_si_003,10.1021/cg301725z,
cg301725z_si_004,10.1021/cg301725z,
cg400449c_si_001,10.1021/cg400449c,
cg400643g_si_003,10.1021/cg400643g,
cg4012185_si_002,10.1021/cg4012185,
cg401858s_si_002,10.1021/cg401858s,
cg401887b_si_002,10.1021/cg401887b,
cg401887b_si_003,10.1021/cg401887b,
cg401887b_si_004,10.1021/cg401887b,
cg500033b_si_002,10.1021/cg500033b,
cg500033b_si_003,10.1021/cg500033b,
cg500091k_si_002,10.1021/cg500091k,
cg500116f_si_002,10.1021/cg500116f,
cg500121f_si_004,10.1021/cg500121f,
cg500149s_si_002,10.1021/cg500149s,
cg500175k_si_001,10.1021/cg500175k,
cg500192d_si_002,10.1021/cg500192d,
cg500192d_si_003,10.1021/cg500192d,
cg5008236_si_002,10.1021/cg5008236,
cg500975j_si_002,10.1021/cg500975j,
cg501012e_si_002,10.1021/cg501012e,
cg5010616_si_003,10.1021/cg5010616,
cg5010616_si_003-1,10.1021/cg5010616,
cg5010616_si_007,10.1021/cg5010616,
cg5010616_si_007-1,10.1021/cg5010616,
cg501141m_si_002,10.1021/cg501141m,
cg501141m_si_003,10.1021/cg501141m,
cg501141m_si_004,10.1021/cg501141m,
cg501231v_si_001,10.1021/cg501231v,
cg5012617_si_002,10.1021/cg5012617,
cg5012617_si_002-1,10.1021/cg5012617,
cg501279y_si_002,10.1021/cg501279y,
cg501332u_si_002,10.1021/cg501332u,
cg501332u_si_002-1,10.1021/cg501332u,
cg501560z_si_002,10.1021/cg501560z,
cg501560z_si_003,10.1021/cg501560z,
cg501604c_si_003,10.1021/cg501604c,
cg501730q_si_002,10.1021/cg501730q,
cg501758a_si_001,10.1021/cg501758a,
cg5018328_si_004,10.1021/cg5018328,
cg5b00056_si_004,10.1021/cg5b00056,
cg8001114-file004,10.1021/cg8001114,
cg8002564_si_005,10.1021/cg8002564,
cg8002564_si_006,10.1021/cg8002564,
cg8002564_si_008,10.1021/cg8002564,
cg800424t_si_002,10.1021/cg800424t,
cg800945m_si_002,10.1021/cg800945m,
cg801164f_si_001,10.1021/cg801164f,
cg801267m_si_001,10.1021/cg801267m,
cg801267m_si_002,10.1021/cg801267m,
cg801267m_si_003,10.1021/cg801267m,
cg801267m_si_004,10.1021/cg801267m,
cg8013317_si_003,10.1021/cg8013317,
cg900153m_si_001,10.1021/cg900153m,
cg900349c_si_002,10.1021/cg900349c,
cg900505v_si_002,10.1021/cg900505v,
cg900505v_si_004,10.1021/cg900505v,
cg900694k_si_004,10.1021/cg900694k,
cg900694k_si_005,10.1021/cg900694k,
cg901114e_si_001,10.1021/cg901114e,
cg901114e_si_002,10.1021/cg901114e,
cg901128k_si_004,10.1021/cg901128k,
cg901181x_si_002,10.1021/cg901181x,
cg901181x_si_003,10.1021/cg901181x,
cg901227h_si_003,10.1021/cg901227h,
cg901312t_si_002,10.1021/cg901312t,
cg9015096_si_002,10.1021/cg9015096,
cg9015096_si_003,10.1021/cg9015096,
cg901605j_si_002,10.1021/cg901605j,
CICYIX,10.1107/S010827010701459X,
CIDKUX,10.1039/C3CC41564C,
CIF2-ja043756x,10.1021/ja043756x,
CIFDOM,10.1016/j.ica.2013.03.042,
CIFDUS,10.1016/j.ica.2013.03.042,
CIFJAE,10.1016/j.ica.2013.03.042,
CIFMEL,10.1016/j.micromeso.2013.03.052,
CIFMIP,10.1016/j.micromeso.2013.03.052,
CIGDUT,10.1016/j.solidstatesciences.2012.09.005,
CIGFAB,10.1016/j.solidstatesciences.2012.09.005,
CIGFEF,10.1016/j.solidstatesciences.2012.09.005,
CIGXIA,10.1039/b704325b,
CIGYAU,10.1016/j.molstruc.2013.04.009,
CIJBEE,10.1039/C3NJ00236E,
CIJVOH,10.1107/S0108270107027862,
CIJVOH01,10.1016/j.inoche.2008.04.015,
CILDAD,10.1039/b708165k,
CILKOZ,10.1016/j.molstruc.2013.09.031,
CIMFUB,10.1038/ncomms3684,
CIMTAV,10.1021/ic400598x,
CIMTEZ,10.1021/ic400598x,
CIPCUB,10.1039/C3CE41714J,
CIPREZ,10.1016/j.inoche.2007.07.004,
CIPRID,10.1016/j.inoche.2007.07.004,
CIQYUX,10.1021/ja0737671,
CITXUZ,10.1039/b712905j,
CITZIP,10.1021/ic700559z,
CIVTEH,10.1039/b712201b,
CIWRAC,10.1021/ja0752540,
CIWREG,10.1021/ja0752540,
CIWROQ,10.1021/ja0752540,
CIWRUW,10.1021/ja0752540,
CIWSAD,10.1021/ja0752540,
CIWYUD,10.1021/ic700559z,
CIWZEP,10.1021/ic4029386,
CIWZIT,10.1021/ic4029386,
CIXCAO,10.1021/ja0752540,
CIZMIJ,10.1039/C4CE00212A,
cm0623918si20061006_115210,10.1021/cm0623918,
cm071462f-file003,10.1021/cm071462f,
cm071462f-file004,10.1021/cm071462f,
cm1008587_si_003,10.1021/cm1008587,
cm202876r_si_002,10.1021/cm202876r,
